team,place,lat,lon
Milwaukee Bucks,MIL,43.043694,-87.91713,
Minnesota Timberwolves,MIN,44.979549,-93.276131,
Miami Heat,MIA,25.781233,-80.18782,
Atlanta Hawks,ATL,33.7569923,-84.3919983,
Boston Celtics,BOS,42.3663175,-71.0597084,
Detroit Pistons,DET,42.6963466,-83.2440995,
Denver Nuggets,DEN,39.7473979,-105.007974,
Sacramento Kings,SAC,38.6481556,-121.5210461,
Brooklyn Nets,BKN,40.683281,-72.680740,
Portland Trail Blazers,POR,45.5314969,-122.6667829,
Orlando Magic,ORL,28.5389544,-81.3842762,
Toronto Raptors,TOR,43.6434402,-79.3789597,
Chicago Bulls,CHI,41.880394,-87.673164,
San Antonio Spurs,SAS,29.4251727,-98.4349231,
Charlotte Hornets,CHA,35.225163,-80.839302,
Cleveland Cavaliers,CLE,41.5047493,-81.6907196,
Washington Wizards,WAS,38.898125,-77.02095,
Los Angeles Lakers,LAL,34.043125,-118.267097,
Philadelphia 76ers,PHI,39.9052513,-75.1734781,
Memphis Grizzlies,MEM,35.1394768,-90.0516909,
Los Angeles Clippers,LAC,34.0417841,-118.2670411,
Dallas Mavericks,DAL,32.790302,-96.810219,
Oklahoma City Thunder,OKC,35.463402,-97.514984,
Phoenix Suns,PHX,33.4459,-112.071312,
Indiana Pacers,IND,39.764046,-86.15551,
New Orleans Pelicans,NOP,29.9440784,-90.083168,
Houston Rockets,HOU,29.7519596,-95.3622159,
New York Knicks,NYK,40.750481,-73.993385,
Golden State Warriors,GSW,37.8020935,-122.2731781,
Utah Jazz,UTA,40.7692149,-111.8998913,
